Distance,Corr Dist,Corr Dist (Unstretched),Corr Speed,ABS Active,ABS Enabled,AID Allow Tire Blankets,AID Auto Blip,AID Auto Clutch,AID Auto Shift,AID Fuel Rate,AID Ideal Line,AID Mech Damage,AID Stability,AID Tire Wear Rate,Air Density,Air Temp,Ballast,Best Lap Delta,Best Lap Time,Brake Bias,Brake Pos,Brake Temp FL,Brake Temp FR,Brake Temp RL,Brake Temp RR,CG Accel Lateral,CG Accel Longitudinal,CG Accel Vertical,CG Height,Camber FL,Camber FR,Camber RL,Camber RR,Car Coord X,Car Coord Y,Car Coord Z,Car Damage Front,Car Damage Left,Car Damage Rear,Car Damage Right,Car Pos Norm,Caster FL,Caster FR,Chassis Pitch Angle,Chassis Pitch Rate,Chassis Roll Angle,Chassis Roll Rate,Chassis Velocity X,Chassis Velocity Y,Chassis Velocity Z,Chassis Yaw Rate,Clutch Pos,DRS Active,DRS Available,Drive Train Speed,ERS Heat Charging,ERS Is Charging,ERS Max Energy,ERS Power Level,ERS Recovery Level,Engine Brake Setting,Engine Limiter,Engine RPM,Flags,Fuel Level,Gear,Ground Speed,HR Sample Clock,In Pit,KERS Charge,KERS Deployed Energy,KERS Input,KERS Max Energy,LR Sample Clock,Lap Invalidated,Lap Time,Lap Time2,Last Lap Time,Last Sector Time,MR Sample Clock,Max Fuel,Max Power,Max RPM,Max Sus Travel FL,Max Sus Travel FR,Max Sus Travel RL,Max Sus Travel RR,Max Torque,Max Turbo Boost,Num Tires Off Track,Penalties Enabled,Position,Raw Data Sample Rate,Ride Height FL,Ride Height FR,Ride Height RL,Ride Height RR,Road Temp,Self Align Torque FL,Self Align Torque FR,Self Align Torque RL,Self Align Torque RR,Session Lap Count,Session Time Left,Steering Angle,Surface Grip,Suspension Travel FL,Suspension Travel FR,Suspension Travel RL,Suspension Travel RR,TC Active,TC Enabled,Throttle Pos,Tire Dirt Level FL,Tire Dirt Level FR,Tire Dirt Level RL,Tire Dirt Level RR,Tire Load FL,Tire Load FR,Tire Load RL,Tire Load RR,Tire Loaded Radius FL,Tire Loaded Radius FR,Tire Loaded Radius RL,Tire Loaded Radius RR,Tire Pressure FL,Tire Pressure FR,Tire Pressure RL,Tire Pressure RR,Tire Radius FL,Tire Radius FR,Tire Radius RL,Tire Radius RR,Tire Rubber Grip FL,Tire Rubber Grip FR,Tire Rubber Grip RL,Tire Rubber Grip RR,Tire Slip Angle FL,Tire Slip Angle FR,Tire Slip Angle RL,Tire Slip Angle RR,Tire Slip Ratio FL,Tire Slip Ratio FR,Tire Slip Ratio RL,Tire Slip Ratio RR,Tire Temp Core FL,Tire Temp Core FR,Tire Temp Core RL,Tire Temp Core RR,Tire Temp Inner FL,Tire Temp Inner FR,Tire Temp Inner RL,Tire Temp Inner RR,Tire Temp Middle FL,Tire Temp Middle FR,Tire Temp Middle RL,Tire Temp Middle RR,Tire Temp Outer FL,Tire Temp Outer FR,Tire Temp Outer RL,Tire Temp Outer RR,Toe In FL,Toe In FR,Toe In RL,Toe In RR,Turbo Boost,Wheel Angular Speed FL,Wheel Angular Speed FR,Wheel Angular Speed RL,Wheel Angular Speed RR,Wind Direction,Wind Speed
m,m,m,km/h,,,,,,,,,%,%,,kg/m3,C,kg,s,s,%,%,C,C,C,C,G,G,G,mm,deg,deg,deg,deg,m,m,m,,,,,,deg,deg,deg,deg/s,deg,deg/s,m/s,m/s,m/s,deg/s,%,,,rad/s,,,MJ,,,,,rpm,,l,,km/h,,,%,kJ,%,MJ,,,s,s,s,s,,l,hp,rpm,mm,mm,mm,mm,N.m,,,,,Hz,mm,mm,mm,mm,C,N.m,N.m,N.m,N.m,,s,deg,%,mm,mm,mm,mm,,,%,,,,,N,N,N,N,mm,mm,mm,mm,psi,psi,psi,psi,mm,mm,mm,mm,%,%,%,%,deg,deg,deg,deg,%,%,%,%,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,deg,deg,deg,deg,,rad/s,rad/s,rad/s,rad/s,deg,km/h


0,0,0,0.5,0,1,1,1,1,1,0,0,0,100,1,1.24300,12,0,0.0000,0.000,56.999990000,100.00,12,12,12,12,0.000,0.0000,0.000,309.04,-2.8462,-2.995,-1.0521,-1.178,-62.4,231.23,-1.888,0,0,0,0,0.9790,-10.15905,-10.15905,0.013,0.44,0.000,0.00,0.00,0.000,0.1318,-0.00,0.00,0,0,0.00,0,0,0,0,0,0,0.0000,61,0.0000,30,0.000,0.47,0.0000,0,0,0,0,0,0.0000,0,0.000,0.000,0.000,0.000,0.0000,150,968.10656,18800,79.999990000,79.999990000,149.999990000,149.999990000,386,0,0.0000,1,5.0000,20.00,74.78,74.78,58.44,58.44,13,0.00,0.00,0.00,0.00,0.0000,0.00,0.00,100,-2.988,-2.988,-16.24,-16.24,0.0000,1,0.00,0,0.0000,0,0.0000,0,0,0,0,320.000,320.00,320.000,320.000,26.640,26.6400,26.640,26.6400,319.999990000,319.999990000,319.999990000,319.999990000,100.0000,100.00000,100.0000,100.0000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,-0.365,-0.365,0.17139,0.17139,0,56.83,56.84,56.60,56.60,-359,21
1,1,1,13.0,0,1,1,1,1,1,0,0,0,100,1,1.24300,12,0,0.0000,0.000,56.999999000,0.00,12,12,12,12,0.004,1.0468,0.539,233.25,-2.8042,-2.856,-1.9242,-1.900,-61.7,231.23,-1.963,0,0,0,0,0.9792,-10.15906,-10.15906,-1.169,0.57,0.080,0.15,3.62,0.008,-0.0815,-0.24,45.55,0,0,26.57,0,0,0,0,0,0,0.0000,4575,0.0000,30,1.000,13.03,0.0000,0,0,0,0,0,0.0000,0,1.008,1.008,0.000,0.000,0.0000,150,968.10656,18800,79.999998000,79.999998000,149.999991000,149.999991000,386,0,0.0000,1,5.0000,83.33,-36.50,-36.50,12.61,12.61,13,-9.47,9.66,0.03,-0.06,0.0000,-1.00,0.04,100,3.777,3.623,14.09,14.42,0.0000,1,100.00,0,0.0000,0,0.0000,1470,1425,2090,2148,315.867,316.00,313.976,313.815,26.637,26.6374,26.638,26.6382,319.999993000,319.999993000,319.999993000,319.999993000,100.0000,100.00000,100.0000,100.0000,0.108,-0.082,-0.0026,0.4151,-0.2182,-0.2360,100.00,100.00,79.984,79.984,79.989,79.989,79.901,79.901,80.234,80.239,79.900,79.900,80.211,80.215,79.900,79.900,80.204,80.209,-0.145,-0.156,0.16024,0.16001,0,11.09,11.10,26.47,26.47,-359,21
10,10,10,49.1,0,1,1,1,1,1,0,0,0,100,1,1.24300,12,0,0.0000,0.000,56.999999000,0.00,12,12,12,12,-0.001,1.1276,0.535,232.94,-2.7849,-2.779,-1.9273,-1.926,-53.0,231.25,-1.969,0,0,0,0,0.9827,-10.15906,-10.15906,-1.183,0.43,0.092,-0.01,13.64,0.002,-0.2760,-0.01,100.00,0,0,49.53,0,0,0,0,0,0,0.0000,8347,0.0000,30,1.000,49.10,0.0000,0,0,0,0,0,0.0000,0,2.004,2.004,0.000,0.000,0.0000,150,968.10656,18800,79.999998000,79.999998000,149.999991000,149.999991000,386,0,0.0000,1,5.0000,83.33,-36.83,-36.83,11.86,11.86,13,-10.97,11.16,0.48,-0.49,0.0000,-2.00,0.03,100,4.033,4.064,14.83,14.88,1.0000,1,100.00,0,0.0000,0,0.0000,1614,1623,2184,2189,315.432,315.40,313.715,313.697,26.605,26.6054,26.618,26.6188,319.999993000,319.999993000,319.999993000,319.999993000,100.0000,100.00000,100.0000,100.0000,0.087,-0.080,-0.2005,0.2151,-0.2580,-0.2573,12.74,12.74,79.784,79.784,79.865,79.868,78.745,78.744,80.488,80.526,78.736,78.735,80.362,80.398,78.731,78.731,80.323,80.360,-0.137,-0.142,0.15956,0.15952,0,42.22,42.22,47.75,47.75,-359,21
29,29,29,87.4,0,1,1,1,1,1,0,0,0,100,1,1.24300,12,0,0.0000,0.000,56.999999000,0.00,12,12,12,12,0.006,0.7727,-0.506,230.74,-2.7665,-2.690,-1.9781,-1.885,-34.2,231.31,-1.987,0,0,0,0,0.9903,-10.15906,-10.15906,-1.091,-0.13,-0.031,0.03,24.28,0.004,-0.4512,-0.10,100.00,0,0,78.61,0,0,0,0,0,0,0.0000,13247,0.0000,30,1.000,87.43,0.0000,0,0,0,0,0,0.0000,0,3.003,3.003,0.000,0.000,0.0000,150,968.10656,18800,79.999998000,79.999998000,149.999991000,149.999991000,386,0,0.0000,1,5.0000,66.66,-37.38,-37.38,8.29,8.29,13,-9.37,11.41,-17.31,17.48,0.0000,-3.00,0.03,100,4.855,5.183,17.30,17.95,0.0000,1,100.00,0,0.0000,0,0.0000,1318,1575,2606,2632,315.611,314.92,312.552,312.465,26.563,26.5635,26.604,26.6042,319.999993000,319.999993000,319.999993000,319.999993000,100.0000,100.00000,100.0000,100.0000,0.072,-0.063,-0.1946,0.2139,-0.1810,-0.1611,3.07,3.06,79.520,79.522,79.774,79.776,77.578,77.581,80.603,80.628,77.550,77.554,80.372,80.395,77.538,77.540,80.300,80.323,-0.112,-0.107,0.15728,0.15671,0,75.27,75.29,78.48,78.48,-359,21
59,59,59,119.3,0,1,1,1,1,1,0,0,0,100,1,1.24300,12,0,0.0000,0.000,56.999999000,0.00,12,12,12,12,-0.004,1.3666,-0.659,229.15,-2.7607,-2.763,-2.0715,-2.076,-4.2,231.43,-1.969,0,0,0,0,0.0024,-10.15906,-10.15906,-1.047,1.33,0.167,-0.27,33.15,0.005,-0.5629,-0.01,100.00,0,0,107.60,0,0,0,0,0,0,0.0000,14413,0.0000,30,2.000,119.35,0.0000,0,0,0,0,0,0.0000,0,4.005,4.005,0.000,0.000,0.0000,150,968.10656,18800,79.999998000,79.999998000,149.999991000,149.999991000,386,0,0.0000,1,5.0000,111.11,-36.36,-36.36,4.43,4.43,13,-8.29,8.31,-16.66,16.92,0.0000,-4.00,0.03,100,5.110,5.125,20.19,20.25,0.0000,1,100.00,0,0.0000,0,0.0000,1189,1167,3350,3312,315.892,315.95,310.453,310.564,26.529,26.5296,26.602,26.6035,319.999993000,319.999993000,319.999993000,319.999993000,100.0000,100.00000,100.0000,100.0000,0.075,-0.060,-0.1923,0.2141,-0.2787,-0.2809,4.70,4.69,79.309,79.310,79.764,79.772,76.327,76.325,81.171,81.213,76.267,76.265,80.782,80.823,76.240,76.237,80.657,80.699,-0.104,-0.108,0.15534,0.15525,0,102.55,102.54,108.84,108.84,-359,21
98,98,98,155.9,0,1,1,1,1,1,0,0,0,100,1,1.24300,12,0,0.0000,0.000,56.999999000,0.00,12,12,12,12,0.002,1.6110,-0.506,221.31,-2.7321,-2.726,-2.3179,-2.306,34.9,231.61,-1.999,0,0,0,0,0.0181,-10.15906,-10.15906,-0.897,0.55,0.061,0.09,43.29,0.008,-0.6602,-0.05,100.00,0,0,141.16,0,0,0,0,0,0,0.0000,15239,0.0000,30,3.000,155.87,0.0000,0,0,0,0,0,0.0000,0,5.007,5.007,0.000,0.000,0.0000,150,968.10656,18800,79.999998000,79.999998000,149.999991000,149.999991000,386,0,0.0000,1,5.0000,83.33,-40.67,-40.67,-6.09,-6.09,13,-18.56,19.01,-21.60,22.29,0.0000,-5.00,0.03,100,6.853,6.892,28.73,28.87,0.0000,1,100.00,0,0.0000,0,0.0000,2180,2190,4245,4265,312.837,312.81,307.877,307.825,26.493,26.4933,26.619,26.6203,319.999993000,319.999993000,319.999993000,319.999993000,100.0000,100.00000,100.0000,100.0000,0.029,-0.014,-0.1847,0.2091,-0.2125,-0.2125,5.14,5.14,79.080,79.083,79.867,79.877,75.003,75.007,82.148,82.193,74.894,74.898,81.544,81.587,74.845,74.849,81.340,81.384,-0.050,-0.053,0.14620,0.14603,0,133.78,133.78,140.81,140.81,-359,21
149,149,149,191.1,0,1,1,1,1,1,0,0,0,100,1,1.24300,12,0,0.0000,0.000,56.999999000,0.00,12,12,12,12,0.009,1.3140,-0.502,215.64,-2.6712,-2.494,-2.7840,-2.640,84.7,231.87,-2.009,0,0,0,0,0.0382,-10.15906,-10.15906,-0.943,2.71,0.171,-1.44,53.09,0.007,-0.6983,-0.25,100.00,0,0,169.29,0,0,0,0,0,0,0.0000,15146,0.0000,30,4.000,191.14,0.0000,0,0,0,0,0,0.0000,0,6.003,6.003,0.000,0.000,0.0000,150,968.10656,18800,79.999998000,79.999998000,149.999991000,149.999991000,386,0,0.0000,1,5.0000,111.11,-44.35,-44.35,-16.70,-16.70,13,-23.71,35.13,-54.27,49.69,0.0000,-6.00,-0.01,100,7.447,9.373,34.72,35.30,0.0000,1,100.00,0,0.0000,0,0.0000,2653,3536,5286,4927,311.478,308.86,305.080,306.005,26.469,26.4695,26.656,26.6585,319.999993000,319.999993000,319.999993000,319.999993000,100.0000,100.00000,100.0000,100.0000,0.010,0.061,-0.1737,0.2051,-0.1598,-0.1376,3.05,3.02,78.929,78.934,80.103,80.116,73.582,73.598,83.101,83.173,73.398,73.413,82.235,82.305,73.316,73.331,81.922,81.993,-0.035,0.026,0.13773,0.13691,0,164.04,164.10,169.07,169.07,-359,21
208,208,208,234.2,0,1,1,1,1,1,0,0,0,100,1,1.24300,12,0,0.0000,0.000,56.999999000,0.00,12,12,12,12,-0.010,1.1203,-0.503,203.47,-2.4320,-2.673,-2.8644,-2.898,144.0,232.25,-2.048,0,0,0,0,0.0620,-10.15906,-10.15906,-0.581,-1.03,-0.158,2.13,65.06,0.003,-0.5968,-0.00,100.00,0,0,205.07,0,0,0,0,0,0,0.0000,18346,0.0000,30,4.000,234.23,0.0000,0,0,0,0,0,0.0000,0,7.005,7.005,0.000,0.000,0.0000,150,968.10656,18800,79.999998000,79.999998000,149.999991000,149.999991000,386,0,0.0000,1,5.0000,111.11,-48.08,-48.08,-31.91,-31.91,13,-42.30,40.03,-87.76,88.58,0.0000,-7.00,-0.05,100,10.528,9.720,50.25,50.26,0.0000,1,100.00,0,0.0000,0,0.0000,4103,3792,6511,6571,307.075,307.99,301.403,301.264,26.456,26.4575,26.720,26.7217,319.999993000,319.999993000,319.999993000,319.999993000,100.0000,100.00000,100.0000,100.0000,-0.074,0.049,-0.1728,0.1629,-0.1074,-0.1133,2.08,2.08,78.847,78.859,80.497,80.511,72.117,72.164,84.401,84.463,71.830,71.874,83.194,83.253,71.703,71.748,82.722,82.782,0.056,0.040,0.11283,0.11281,0,200.70,200.69,204.74,204.74,-359,21
275,275,275,253.5,0,1,1,1,1,1,0,0,0,100,1,1.24300,12,0,0.0000,0.000,56.999999000,0.00,12,12,12,12,-0.047,0.8552,-0.451,189.75,-2.5127,-2.583,-3.2590,-3.213,210.6,232.76,-1.720,0,0,0,0,0.0889,-10.15906,-10.15906,0.811,-1.48,0.042,3.31,70.42,0.009,-0.3486,0.30,100.00,0,0,220.28,0,0,0,0,0,0,0.0000,16610,0.0000,30,5.000,253.53,0.0000,0,0,0,0,0,0.0000,0,8.007,8.007,0.000,0.000,0.0000,150,968.10656,18800,79.999998000,79.999998000,149.999991000,149.999991000,386,0,0.0000,1,5.0000,66.66,-49.21,-49.21,-50.39,-50.39,13,-46.05,41.01,-136.73,134.43,0.0000,-8.00,0.01,100,11.651,10.489,64.65,65.67,0.0000,1,100.00,0,0.0000,0,0.0000,4205,3879,8075,8145,306.562,307.61,296.804,296.560,26.460,26.4622,26.806,26.8085,319.999993000,319.999993000,319.999993000,319.999993000,100.0000,100.00000,100.0000,100.0000,-0.091,0.063,-0.1448,0.1226,-0.0743,-0.0767,1.39,1.41,78.874,78.889,81.036,81.053,70.888,70.959,85.086,85.169,70.458,70.525,83.538,83.618,70.271,70.336,82.888,82.968,0.095,0.058,0.08348,0.08134,0,217.20,217.18,220.00,220.00,-359,21
349,349,349,269.4,0,1,1,1,1,1,0,0,0,100,1,1.24300,12,0,0.0000,0.000,56.999999000,0.00,12,12,12,12,-3.020,-0.8452,-0.015,178.25,-1.4097,-3.445,-3.1411,-3.765,284.2,232.09,0.960,0,0,0,0,0.1185,-10.15906,-10.15906,2.717,-4.49,2.040,5.53,74.82,-0.713,-0.3840,27.29,100.00,0,0,229.62,0,0,0,0,0,0,0.0000,17314,0.0000,30,5.000,269.38,0.0000,0,0,0,0,0,0.0000,0,9.000,9.000,0.000,0.000,0.0000,150,968.10656,18800,79.999998000,79.999998000,149.999991000,149.999991000,386,0,0.0000,1,5.0000,111.11,-57.52,-57.52,-47.34,-47.34,13,-245.58,-33.26,-213.95,1.12,0.0000,-9.00,17.56,100,20.202,5.241,77.42,64.68,0.0000,1,0.00,0,0.0000,0,0.0000,9548,3829,8102,7270,291.713,308.83,297.252,299.420,26.503,26.4818,26.926,26.9259,319.999993000,319.999993000,319.999993000,319.999993000,100.0000,100.00000,100.0000,100.0000,-1.694,-1.456,-1.2094,-0.9376,-0.0381,0.0651,-0.62,-0.06,79.142,79.011,81.787,81.787,71.177,70.281,86.773,86.551,70.485,69.626,84.733,84.519,70.205,69.337,83.804,83.587,1.754,-1.526,0.04853,0.08250,0,231.98,229.90,230.45,229.28,-359,21
420,420,420,244.3,0,1,1,1,1,1,0,0,0,100,1,1.24300,12,0,0.0000,0.000,56.999999000,0.00,12,12,12,12,-2.264,-0.0193,0.079,183.55,-2.1505,-3.100,-2.7388,-3.404,351.6,212.34,5.144,0,0,0,0,0.1471,-10.15906,-10.15906,3.367,9.48,6.142,-3.64,67.87,-0.556,-0.5314,19.59,100.00,0,0,210.74,0,0,0,0,0,0,0.0000,15891,0.0000,30,5.000,244.35,0.0000,0,0,0,0,0,0.0000,0,10.002,10.002,0.000,0.000,0.0000,150,968.10656,18800,79.999998000,79.999998000,149.999991000,149.999991000,386,0,0.0000,1,5.0000,111.11,-57.08,-57.08,-42.04,-42.04,13,-153.23,-6.96,-204.18,20.86,0.0000,-10.00,11.17,100,17.595,9.362,63.57,49.35,0.0000,1,57.26,0,0.0000,0,0.0000,6735,4313,8099,6999,298.638,305.80,297.744,301.140,26.581,26.4674,27.045,27.0195,319.999993000,319.999993000,319.999993000,319.999993000,100.0000,100.00000,100.0000,100.0000,-1.128,-0.809,-1.0129,-0.7099,-0.0571,-0.0258,0.39,0.66,79.629,78.921,82.530,82.372,74.677,70.674,89.408,87.576,73.562,69.695,86.892,85.111,73.167,69.235,85.722,83.907,1.147,-0.857,0.08300,0.11367,0,210.63,209.04,211.32,210.13,-359,21
488,488,488,251.8,0,1,1,1,1,1,0,0,0,100,1,1.24300,12,0,0.0000,0.000,56.999999000,0.00,12,12,12,12,-2.824,0.1804,-0.631,185.54,-2.3397,-2.639,-2.5619,-3.513,407.0,172.20,10.912,0,0,0,0,0.1751,-10.15906,-10.15906,4.609,-0.32,5.554,-9.48,69.93,-0.500,-0.6320,26.14,100.00,0,0,217.65,0,0,0,0,0,0,0.0000,16411,0.0000,30,5.000,251.77,0.0000,0,0,0,0,0,0.0000,0,11.001,11.001,0.000,0.000,0.0000,150,968.10656,18800,79.999998000,79.999998000,149.999991000,149.999991000,386,0,0.0000,1,5.0000,111.11,-50.05,-50.05,-38.94,-38.94,13,-123.40,-47.88,-201.08,15.40,0.0000,-11.00,33.62,100,15.664,6.588,61.22,47.10,0.0000,1,70.20,0,0.0000,0,0.0000,5364,2994,8040,5846,303.154,310.50,297.723,303.600,26.639,26.4521,27.163,27.1079,319.999993000,319.999993000,319.999993000,319.999993000,100.0000,100.00000,100.0000,100.0000,-2.339,-2.180,-1.0573,-0.7398,-0.1125,-0.0027,0.67,1.17,79.994,78.825,83.269,82.924,76.127,70.549,90.944,88.144,74.711,69.341,88.076,85.341,74.206,68.771,86.725,83.925,2.557,-2.430,0.08854,0.11818,0,216.50,214.96,218.21,217.07,-359,21
559,559,559,257.4,0,1,1,1,1,1,0,0,0,100,1,1.24300,12,0,0.0000,0.000,56.999999000,0.00,12,12,12,12,-1.976,0.3027,0.435,190.46,-1.9451,-2.818,-1.9109,-3.194,445.2,113.65,16.177,0,0,0,0,0.2036,-10.15906,-10.15906,3.075,-0.65,3.497,-5.87,71.49,-0.846,-0.6445,8.82,100.00,0,0,222.29,0,0,0,0,0,0,0.0000,16762,0.0000,30,5.000,257.38,0.0000,0,0,0,0,0,0.0000,0,12.000,12.000,0.000,0.000,0.0000,150,968.10656,18800,79.999998000,79.999998000,149.999991000,149.999991000,386,0,0.0000,1,5.0000,111.11,-49.34,-49.34,-43.11,-43.11,13,-112.60,-16.38,-175.92,14.78,0.0000,-12.00,5.92,100,13.464,7.133,64.37,44.75,0.0000,1,70.20,0,0.0000,0,0.0000,5527,3796,7609,6111,303.746,308.73,298.827,302.881,26.717,26.4237,27.290,27.1880,319.999993000,319.999993000,319.999993000,319.999993000,100.0000,100.00000,100.0000,100.0000,-1.089,-0.941,-0.9986,-0.6757,-0.0583,-0.0489,0.68,1.06,80.484,78.648,84.066,83.425,79.549,70.749,93.775,89.260,77.752,69.287,90.538,86.076,77.147,68.593,89.037,84.423,0.612,-0.509,0.08206,0.12231,0,220.91,220.13,222.31,222.27,-359,21
632,632,632,264.3,0,1,1,1,1,1,0,0,0,100,1,1.24300,12,0,0.0000,0.000,56.999999000,0.00,12,12,12,12,-3.242,0.2310,-1.062,200.71,-1.5193,-3.540,-2.2551,-3.893,463.4,43.74,18.815,0,0,0,0,0.2328,-10.15906,-10.15906,0.174,-4.28,-0.736,-2.65,73.39,-1.744,-0.6129,25.12,100.00,0,0,228.41,0,0,0,0,0,0,0.0000,17223,0.0000,30,5.000,264.28,0.0000,0,0,0,0,0,0.0000,0,13.002,13.002,0.000,0.000,0.0000,150,968.10656,18800,79.999998000,79.999998000,149.999991000,149.999991000,386,0,0.0000,1,5.0000,83.33,-46.29,-46.29,-39.66,-39.66,13,-130.22,-16.99,-207.04,-50.85,0.0000,-13.00,7.16,100,17.581,2.311,68.19,40.43,0.0000,1,69.80,0,0.0000,0,0.0000,5488,1713,7914,5257,302.737,314.59,297.846,305.330,26.795,26.3880,27.419,27.2609,319.999993000,319.999993000,319.999993000,319.999993000,100.0000,100.00000,100.0000,100.0000,-1.885,-1.800,-1.9871,-1.6857,-0.0548,-0.1119,0.77,1.27,80.968,78.425,84.870,83.880,81.769,70.645,95.693,89.642,79.640,68.958,92.148,86.160,78.915,68.152,90.508,84.318,1.119,-1.051,0.07249,0.12986,0,227.53,224.78,228.99,227.74,-359,21
706,706,706,273.6,0,1,1,1,1,1,0,0,0,100,1,1.24300,12,0,0.0000,0.000,56.999999000,0.00,12,12,12,12,-0.907,0.2105,-0.753,197.33,-2.3927,-2.896,-3.0711,-3.333,465.7,-31.00,19.050,0,0,0,0,0.2631,-10.15906,-10.15906,-0.627,-3.53,-0.208,1.59,76.00,-0.258,-0.5522,7.28,100.00,0,0,235.86,0,0,0,0,0,0,0.0000,17785,0.0000,30,5.000,273.61,0.0000,0,0,0,0,0,0.0000,0,14.004,14.004,0.000,0.000,0.0000,150,968.10656,18800,79.999998000,79.999998000,149.999991000,149.999991000,386,0,0.0000,1,5.0000,83.33,-50.25,-50.25,-42.42,-42.42,13,-87.06,18.37,-159.07,85.91,0.0000,-14.00,4.91,100,13.551,9.096,62.38,57.16,0.0000,1,69.41,0,0.0000,0,0.0000,5096,3996,7480,6916,304.353,307.62,299.305,300.547,26.865,26.3854,27.549,27.3541,319.999993000,319.999993000,319.999993000,319.999993000,100.0000,100.00000,100.0000,100.0000,-0.582,-0.398,-0.4879,-0.1844,-0.0518,-0.0349,0.62,0.90,81.408,78.409,85.684,84.463,80.371,69.332,95.260,89.299,78.154,67.552,91.530,85.626,77.384,66.709,89.770,83.668,0.538,-0.371,0.08649,0.09864,0,234.60,234.01,235.78,235.78,-359,21
782,782,782,264.5,0,1,1,1,1,1,0,0,0,100,1,1.24300,12,0,0.0000,0.000,56.999999000,0.00,12,12,12,12,-1.982,-0.6148,-0.217,208.31,-2.0555,-3.264,-2.7384,-3.132,455.8,-105.93,17.922,0,0,0,0,0.2941,-10.15906,-10.15906,-2.357,-9.86,-0.338,9.33,73.47,-0.782,-0.7725,16.31,100.00,0,0,225.22,0,0,0,0,0,0,0.0000,16983,0.0000,30,5.000,264.52,0.0000,0,0,0,0,0,0.0000,0,15.003,15.003,0.000,0.000,0.0000,150,968.10656,18800,79.999998000,79.999998000,149.999991000,149.999991000,386,0,0.0000,1,5.0000,111.11,-45.87,-45.87,-30.61,-30.61,13,-115.61,-21.44,-132.26,-0.60,0.0000,-15.00,12.30,100,14.751,3.720,60.84,49.18,0.0000,1,0.00,0,0.0000,0,0.0000,5209,2777,5689,5263,304.653,312.10,304.163,305.121,26.960,26.3546,27.682,27.4339,319.999993000,319.999993000,319.999993000,319.999993000,100.0000,100.00000,100.0000,100.0000,-1.455,-1.394,-1.1293,-0.7920,0.0002,0.0739,-0.72,-0.13,82.001,78.217,86.513,84.962,82.303,69.189,96.693,89.516,79.795,67.192,92.660,85.572,78.921,66.237,90.727,83.434,1.178,-1.148,0.08772,0.11308,0,227.30,226.06,225.57,225.33,-359,21
852,852,852,245.1,0,1,1,1,1,1,0,0,0,100,1,1.24300,12,0,0.0000,0.000,56.999999000,0.00,12,12,12,12,-5.091,0.1122,0.912,211.51,-1.6116,-3.186,-1.5571,-3.240,423.9,-167.76,13.665,0,0,0,0,0.3229,-10.15906,-10.15906,-4.556,5.83,3.164,6.39,68.04,-2.354,-0.6865,50.28,100.00,0,0,211.93,0,0,0,0,0,0,0.0000,15980,0.0000,30,5.000,245.11,0.0000,0,0,0,0,0,0.0000,0,16.005,16.005,0.000,0.000,0.0000,150,968.10656,18800,79.999998000,79.999998000,149.999991000,149.999991000,386,0,0.0000,1,5.0000,83.33,-51.49,-51.49,-27.75,-27.75,13,-40.61,-17.50,-180.51,-109.18,0.0000,-16.00,49.02,100,22.229,0.139,60.67,35.37,0.0000,1,60.78,0,0.0000,0,0.0000,7682,2106,8571,5569,297.002,313.45,296.642,304.308,27.068,26.3004,27.798,27.4916,319.999993000,319.999993000,319.999993000,319.999993000,100.0000,100.00000,100.0000,100.0000,-5.293,-5.198,-3.1830,-2.9366,-0.2144,-0.1683,0.65,1.20,82.674,77.877,87.238,85.323,87.255,69.533,98.745,90.091,84.391,67.317,94.470,85.914,83.464,66.255,92.430,83.632,4.510,-4.462,0.08844,0.13813,0,211.37,206.90,213.69,210.45,-359,21
921,921,921,248.3,0,1,1,1,1,1,0,0,0,100,1,1.24300,12,0,0.0000,0.000,56.999999000,0.00,12,12,12,12,-1.555,0.1877,-0.079,206.70,-2.2373,-3.026,-2.9085,-3.509,367.7,-204.98,8.036,0,0,0,0,0.3510,-10.15906,-10.15906,-5.311,3.14,2.661,1.74,68.98,-0.379,-0.4689,11.83,100.00,0,0,213.99,0,0,0,0,0,0,0.0000,16135,0.0000,30,5.000,248.32,0.0000,0,0,0,0,0,0.0000,0,17.004,17.004,0.000,0.000,0.0000,150,968.10656,18800,79.999998000,79.999998000,149.999991000,149.999991000,386,0,0.0000,1,5.0000,111.11,-52.28,-52.28,-45.37,-45.37,13,-111.52,4.47,-195.84,69.88,0.0000,-17.00,7.70,100,15.524,8.377,65.09,52.83,0.0000,1,60.39,0,0.0000,0,0.0000,5610,3851,8201,7397,302.709,307.80,297.318,299.506,27.207,26.2511,27.935,27.5549,319.999993000,319.999993000,319.999993000,319.999993000,100.0000,100.00000,100.0000,100.0000,-0.852,-0.628,-0.7009,-0.4215,-0.0437,-0.0252,0.40,0.65,83.545,77.570,88.091,85.719,91.667,69.956,101.729,91.412,88.419,67.504,97.130,86.907,87.369,66.316,94.921,84.406,0.813,-0.612,0.07978,0.10690,0,213.58,212.59,214.22,213.67,-359,21
